,company,link
0,CARL ZEISS MEDITEC,https://fr.glassdoor.be/Avis/ZEISS-Group-Avis-E9052.htm
1,HEIDELBERGCEMENT,https://fr.glassdoor.be/Avis/HeidelbergCement-Avis-E10451.htm
2,RHEINMETALL,https://fr.glassdoor.be/Avis/Rheinmetall-Avis-E10472.htm
3,NOKIA,https://fr.glassdoor.be/Avis/Nokia-Avis-E3494.htm
4,WORLDLINE,https://fr.glassdoor.be/Avis/Worldline-Avis-E2068593.htm
5,ORPEA,https://fr.glassdoor.be/Avis/Orpea-Avis-E38065.htm
6,RENTOKIL INITIAL,https://fr.glassdoor.be/Avis/Rentokil-Initial-Avis-E10220.htm
